invoice_number,invoice_date,product1_name,product1_price,product2_name,product2_price,product3_name,product3_price,product4_name,product4_price,pos_number,dept_location,pincode
INV-100021,2026-01-22,Keyboard,20683,Office Chair,41783,Monitor,40054,Water Bottle,77033,POS-15,Accessories,461265
INV-100022,2026-01-23,USB Cable,20121,Office Chair,42400,Laptop,15954,Soap,3290,POS-08,Accessories,469371
INV-100023,2026-01-24,Pen Set,72681,Smartphone,3382,Soap,25636,Charger,45767,POS-18,Electronics,463931
INV-100024,2026-01-25,Monitor,76373,Pen Set,46226,Charger,47260,Laptop,35906,POS-18,Stationery,464759
INV-100025,2026-01-26,Laptop,2785,Charger,28045,USB Cable,20674,Headphones,44502,POS-03,Accessories,460125
INV-100026,2026-01-27,Charger,65581,Backpack,71037,Office Chair,32178,Desk Lamp,1887,POS-07,Accessories,467757
INV-100027,2026-01-28,Office Chair,66193,Charger,43416,Notebook,64691,Body Lotion,45488,POS-14,Stationery,463482
INV-100028,2026-01-29,USB Cable,31359,Charger,40861,Pen Set,10442,Water Bottle,30917,POS-16,Electronics,465259
INV-100029,2026-01-30,Laptop,62494,Soap,30627,Desk Lamp,66634,Power Bank,39441,POS-07,Office,463641
INV-100030,2026-01-31,Headphones,28059,Water Bottle,16363,Shampoo,44338,Tablet,66216,POS-15,Personal Care,461137
INV-100031,2026-02-01,Shampoo,42387,Desk Lamp,21169,Laptop,54060,Charger,11065,POS-19,Office,463264
INV-100032,2026-02-02,Tablet,57555,Soap,15124,Body Lotion,42818,Backpack,41608,POS-20,Personal Care,467894
INV-100033,2026-02-03,Smartphone,50376,Monitor,26491,USB Cable,58488,Soap,44691,POS-20,Electronics,464195
INV-100034,2026-02-04,Headphones,40482,Charger,57809,Soap,29020,USB Cable,17587,POS-20,Accessories,469822
INV-100035,2026-02-05,Pen Set,3084,Shampoo,20162,Backpack,44547,Notebook,61315,POS-12,Office,466358
INV-100036,2026-02-06,Shampoo,54106,Smartphone,20638,Keyboard,10774,Office Chair,69422,POS-09,Electronics,460075
INV-100037,2026-02-07,Body Lotion,45974,Backpack,36408,Tablet,10417,Water Bottle,78431,POS-20,Personal Care,467230
INV-100038,2026-02-08,Desk Lamp,17980,Shampoo,40483,Notebook,6031,Water Bottle,67509,POS-05,Electronics,467458
INV-100039,2026-02-09,Body Lotion,11808,Keyboard,17118,Office Chair,14092,Pen Set,45318,POS-15,Office,467807
INV-100040,2026-02-10,Body Lotion,17083,Pen Set,60171,Power Bank,37145,Tablet,6678,POS-03,Electronics,460516
INV-100041,2026-02-11,Desk Lamp,65863,Face Wash,18779,Mouse,7138,Soap,1643,POS-10,Stationery,468255
INV-100042,2026-02-12,Headphones,41600,Charger,20208,USB Cable,56969,Monitor,74580,POS-04,Accessories,463330
INV-100043,2026-02-13,Smartphone,16930,USB Cable,66633,Laptop,6434,Soap,2727,POS-10,Home,469606
INV-100044,2026-02-14,Headphones,61869,Soap,44750,Smartphone,7155,Power Bank,23951,POS-12,Stationery,463124
INV-100045,2026-02-15,Power Bank,50598,Soap,73546,Water Bottle,59934,Monitor,14901,POS-02,Electronics,469980
INV-100046,2026-02-16,Shampoo,58867,Water Bottle,79184,Charger,4241,Desk Lamp,23574,POS-15,Stationery,460771
INV-100047,2026-02-17,Desk Lamp,70141,Charger,1980,Soap,58377,USB Cable,63149,POS-09,Accessories,463466
INV-100048,2026-02-18,Laptop,70027,Pen Set,50302,Smartphone,57804,Body Lotion,59246,POS-20,Accessories,460586
INV-100049,2026-02-19,Smartphone,27146,Face Wash,67520,Backpack,49879,Laptop,61292,POS-20,Personal Care,467169
INV-100050,2026-02-20,Desk Lamp,1388,Water Bottle,12397,Tablet,15323,Office Chair,2437,POS-14,Stationery,469477
INV-100051,2026-02-21,Pen Set,32548,Shampoo,40031,Headphones,59829,USB Cable,60525,POS-03,Accessories,463417
INV-100052,2026-02-22,Soap,75275,Notebook,68765,Pen Set,73340,Desk Lamp,54785,POS-18,Accessories,465545
INV-100053,2026-02-23,Shampoo,27991,Laptop,15509,Office Chair,16857,Monitor,1990,POS-05,Accessories,464201
INV-100054,2026-02-24,Laptop,8977,Tablet,59486,Smartphone,12455,Headphones,23422,POS-08,Electronics,467629
INV-100055,2026-02-25,Notebook,77674,USB Cable,29178,Laptop,59320,Face Wash,60523,POS-08,Personal Care,469598
INV-100056,2026-02-26,USB Cable,77047,Power Bank,10611,Soap,68334,Water Bottle,69056,POS-05,Personal Care,469159
INV-100057,2026-02-27,Water Bottle,76608,Tablet,79688,Shampoo,54818,Office Chair,11553,POS-16,Personal Care,460063
INV-100058,2026-02-28,USB Cable,33090,Power Bank,55958,Shampoo,46620,Notebook,20467,POS-19,Stationery,460036
INV-100059,2026-03-01,Notebook,825,Laptop,69177,Soap,2568,Tablet,15761,POS-05,Stationery,465176
INV-100060,2026-03-02,Backpack,32260,Notebook,68670,Keyboard,58332,Soap,4500,POS-16,Home,462865
INV-100061,2026-03-03,Laptop,48114,Water Bottle,77906,Office Chair,12778,Desk Lamp,73330,POS-12,Home,462147
INV-100062,2026-03-04,Headphones,42005,Keyboard,59361,Shampoo,70357,Smartphone,77353,POS-17,Personal Care,462249
INV-100063,2026-03-05,Shampoo,70141,Backpack,20788,Headphones,23258,Monitor,27536,POS-04,Electronics,460728
INV-100064,2026-03-06,Mouse,58044,Soap,9243,Notebook,18318,Backpack,18746,POS-10,Home,466815
INV-100065,2026-03-07,Desk Lamp,60745,Pen Set,52669,Keyboard,70535,Power Bank,20897,POS-11,Accessories,460056
INV-100066,2026-03-08,Mouse,59097,Notebook,35132,Tablet,75151,Pen Set,14511,POS-17,Accessories,464984
INV-100067,2026-03-09,Soap,11814,Desk Lamp,38594,Charger,54875,Tablet,71547,POS-13,Personal Care,465756
INV-100068,2026-03-10,Smartphone,38660,Notebook,38250,USB Cable,75573,Soap,60960,POS-20,Accessories,467432
INV-100069,2026-03-11,Headphones,10861,Smartphone,6404,Laptop,34113,Shampoo,34627,POS-20,Personal Care,460553
INV-100070,2026-03-12,Smartphone,25401,Monitor,48678,Laptop,60374,Charger,19834,POS-02,Electronics,467499
INV-100071,2026-03-13,Office Chair,1044,Body Lotion,69193,Keyboard,77009,Pen Set,37276,POS-03,Accessories,469518
INV-100072,2026-03-14,Office Chair,73426,Tablet,16827,Water Bottle,25892,Body Lotion,64892,POS-07,Electronics,460976
INV-100073,2026-03-15,USB Cable,46018,Backpack,36782,Soap,22106,Charger,77802,POS-18,Office,468231
INV-100074,2026-03-16,Office Chair,35498,Face Wash,21168,Keyboard,21378,Smartphone,1847,POS-19,Stationery,467877
INV-100075,2026-03-17,Body Lotion,34866,Shampoo,30097,Mouse,46276,Notebook,18598,POS-08,Personal Care,460436
INV-100076,2026-03-18,Power Bank,63491,Desk Lamp,42954,Mouse,15779,Body Lotion,10641,POS-09,Accessories,462232
INV-100077,2026-03-19,USB Cable,59330,Office Chair,70931,Mouse,56478,Soap,19474,POS-05,Accessories,460976
INV-100078,2026-03-20,Keyboard,40449,Laptop,56524,Mouse,16098,Headphones,2702,POS-12,Electronics,464333
INV-100079,2026-03-21,Charger,56670,Face Wash,32393,Mouse,62392,Pen Set,3449,POS-05,Office,464212
INV-100080,2026-03-22,Tablet,22838,Headphones,49865,Smartphone,74087,Notebook,61069,POS-10,Electronics,464827
INV-100081,2026-03-23,Tablet,19545,Face Wash,46026,Power Bank,49686,Notebook,37357,POS-16,Electronics,467269
INV-100082,2026-03-24,Office Chair,77836,Soap,41207,Power Bank,31881,Body Lotion,25291,POS-15,Accessories,464427
INV-100083,2026-03-25,Soap,496,Face Wash,77511,USB Cable,73750,Desk Lamp,16576,POS-12,Home,462905
INV-100084,2026-03-26,Notebook,13920,Power Bank,27013,Water Bottle,68936,Soap,58579,POS-04,Home,466977
INV-100085,2026-03-27,Laptop,32167,Body Lotion,38622,Soap,50701,Smartphone,33725,POS-18,Stationery,464554
INV-100086,2026-03-28,Backpack,31871,Smartphone,68641,Pen Set,22870,Water Bottle,14004,POS-03,Accessories,460268
INV-100087,2026-03-29,Water Bottle,43219,Notebook,52704,Smartphone,16782,Shampoo,71846,POS-13,Electronics,462709
INV-100088,2026-03-30,Body Lotion,6912,Office Chair,74832,Headphones,55456,Backpack,18797,POS-10,Electronics,460190
INV-100089,2026-03-31,Shampoo,60841,Headphones,22410,Office Chair,9340,Mouse,69557,POS-20,Stationery,469705
INV-100090,2026-04-01,Soap,53407,Backpack,66470,Headphones,68063,Desk Lamp,38803,POS-11,Stationery,468846
INV-100091,2026-04-02,Face Wash,54272,Notebook,26201,Soap,11199,Tablet,46069,POS-18,Home,461074
INV-100092,2026-04-03,Office Chair,13686,Shampoo,74826,Soap,22843,Face Wash,55650,POS-13,Personal Care,462557
INV-100093,2026-04-04,Shampoo,79007,Charger,53629,Monitor,69396,Water Bottle,62821,POS-13,Home,464378
INV-100094,2026-04-05,Tablet,29945,Soap,54176,Keyboard,12553,Shampoo,2005,POS-11,Personal Care,467156
INV-100095,2026-04-06,Power Bank,43155,USB Cable,57294,Monitor,63145,Face Wash,40472,POS-18,Electronics,466138
INV-100096,2026-04-07,Power Bank,30927,Laptop,32351,Soap,12355,Backpack,77892,POS-16,Accessories,467393
INV-100097,2026-04-08,Water Bottle,26761,Mouse,69452,Smartphone,22358,Office Chair,14230,POS-15,Stationery,464293
INV-100098,2026-04-09,Monitor,20618,Face Wash,41464,Laptop,74028,Charger,70301,POS-14,Personal Care,469073
INV-100099,2026-04-10,Charger,56292,Desk Lamp,57726,Pen Set,34228,Body Lotion,45726,POS-07,Home,460040
INV-100100,2026-04-11,Monitor,62260,Face Wash,26730,Shampoo,7620,Backpack,42765,POS-03,Accessories,465994
INV-100101,2026-04-12,Smartphone,58264,Tablet,41545,Charger,67694,Office Chair,57454,POS-06,Accessories,463701
INV-100102,2026-04-13,Desk Lamp,60402,Water Bottle,74307,Tablet,19026,USB Cable,38020,POS-01,Accessories,465887
INV-100103,2026-04-14,USB Cable,70055,Pen Set,49057,Soap,57816,Headphones,43746,POS-01,Home,461770
INV-100104,2026-04-15,Pen Set,40425,Water Bottle,15171,Monitor,60561,Laptop,65706,POS-15,Home,465851
INV-100105,2026-04-16,Office Chair,28204,Charger,65251,Desk Lamp,21888,Mouse,75068,POS-02,Accessories,462067
INV-100106,2026-04-17,Water Bottle,62474,Power Bank,20412,Face Wash,1807,Soap,24520,POS-18,Personal Care,465260
INV-100107,2026-04-18,Headphones,5904,Office Chair,48205,Tablet,44951,Smartphone,34947,POS-07,Home,464513
INV-100108,2026-04-19,Soap,13798,Power Bank,19908,Charger,50666,Mouse,36933,POS-08,Accessories,460883
INV-100109,2026-04-20,Face Wash,31638,Office Chair,52404,Headphones,19655,Smartphone,972,POS-14,Accessories,462311
INV-100110,2026-04-21,Notebook,34193,Power Bank,17475,Soap,21642,Pen Set,61756,POS-16,Home,466462
INV-100111,2026-04-22,Monitor,79262,Laptop,78108,Soap,16194,Body Lotion,52055,POS-06,Office,463979
INV-100112,2026-04-23,Monitor,70140,Notebook,56683,Office Chair,74504,Water Bottle,49549,POS-08,Electronics,468898
INV-100113,2026-04-24,Desk Lamp,31154,Face Wash,33760,Smartphone,42545,Keyboard,71023,POS-17,Accessories,465710
INV-100114,2026-04-25,Laptop,57949,Desk Lamp,48716,Smartphone,78741,Water Bottle,70926,POS-02,Personal Care,468301
INV-100115,2026-04-26,Soap,29831,Laptop,19828,Power Bank,15685,Keyboard,17499,POS-11,Stationery,469673
INV-100116,2026-04-27,Charger,22566,Headphones,75713,Body Lotion,63615,Shampoo,66747,POS-18,Stationery,467844
INV-100117,2026-04-28,Laptop,32569,Headphones,5090,Soap,17989,Office Chair,55836,POS-01,Electronics,465917
INV-100118,2026-04-29,Face Wash,66607,Desk Lamp,27131,Backpack,14432,Water Bottle,39171,POS-14,Home,462526
INV-100119,2026-04-30,Monitor,71267,Notebook,32531,Mouse,50483,Shampoo,16994,POS-16,Personal Care,469595
INV-100120,2026-05-01,Keyboard,16242,Face Wash,57872,Notebook,9209,Mouse,20607,POS-14,Home,466126
INV-100121,2026-05-02,Tablet,11168,Body Lotion,27383,Backpack,15671,Laptop,70281,POS-16,Home,461497
INV-100122,2026-05-03,Power Bank,20259,Tablet,19928,Shampoo,63693,Notebook,8278,POS-05,Electronics,462185
INV-100123,2026-05-04,Power Bank,59806,Shampoo,59129,Body Lotion,5241,Monitor,47559,POS-07,Office,461931
INV-100124,2026-05-05,Pen Set,18252,Soap,45471,Mouse,43589,Notebook,71717,POS-17,Office,460790
INV-100125,2026-05-06,Mouse,71818,USB Cable,78136,Laptop,27244,Shampoo,21515,POS-20,Home,469546
INV-100126,2026-05-07,Soap,69222,Mouse,20281,Body Lotion,6065,Headphones,16190,POS-13,Electronics,467106
INV-100127,2026-05-08,Office Chair,2657,Mouse,6504,Shampoo,44867,Keyboard,15719,POS-10,Accessories,466505
INV-100128,2026-05-09,Tablet,13572,Laptop,52645,Keyboard,6680,Shampoo,45178,POS-04,Electronics,468415
INV-100129,2026-05-10,Notebook,64557,Soap,37710,Shampoo,18614,USB Cable,67193,POS-20,Office,460060
INV-100130,2026-05-11,Backpack,76831,Face Wash,77515,Charger,56904,Keyboard,30382,POS-06,Stationery,461645
INV-100131,2026-05-12,Headphones,62294,Office Chair,32028,Laptop,78815,Mouse,51410,POS-13,Personal Care,465989
INV-100132,2026-05-13,Water Bottle,13492,Tablet,45627,Monitor,11123,Charger,5518,POS-11,Stationery,466343
INV-100133,2026-05-14,Monitor,56558,Mouse,66272,Backpack,26881,Office Chair,68808,POS-08,Personal Care,464556
INV-100134,2026-05-15,Face Wash,6148,Power Bank,40175,Water Bottle,6317,Smartphone,40128,POS-18,Electronics,469242
INV-100135,2026-05-16,Tablet,16534,Office Chair,69794,Headphones,52712,Body Lotion,78088,POS-09,Office,466370
INV-100136,2026-05-17,Headphones,36125,Backpack,43579,Water Bottle,77366,Desk Lamp,48432,POS-19,Office,460598
INV-100137,2026-05-18,Soap,16669,Water Bottle,77740,Power Bank,53614,Mouse,28855,POS-19,Personal Care,460686
INV-100138,2026-05-19,Pen Set,51187,Keyboard,78152,Desk Lamp,42781,USB Cable,65840,POS-05,Stationery,460371
INV-100139,2026-05-20,Headphones,13781,Notebook,74956,Mouse,5970,Pen Set,77971,POS-01,Accessories,462618
INV-100140,2026-05-21,Mouse,6655,Soap,30246,Face Wash,18956,Office Chair,34016,POS-19,Office,465859
INV-100141,2026-05-22,Mouse,25294,Soap,4748,Desk Lamp,22015,Water Bottle,18770,POS-15,Home,463696
INV-100142,2026-05-23,Laptop,4192,Smartphone,55856,Backpack,29937,Face Wash,53763,POS-11,Electronics,461462
INV-100143,2026-05-24,Keyboard,78156,Smartphone,3290,Power Bank,35913,Monitor,78839,POS-15,Accessories,462743
INV-100144,2026-05-25,Backpack,58442,Water Bottle,32753,Charger,40118,Laptop,24013,POS-19,Stationery,466040
INV-100145,2026-05-26,Smartphone,36841,Pen Set,42800,Notebook,18542,Mouse,7738,POS-09,Home,461318
INV-100146,2026-05-27,USB Cable,13668,Keyboard,63143,Tablet,48853,Body Lotion,48284,POS-20,Office,463458
INV-100147,2026-05-28,Monitor,52670,Keyboard,40871,Notebook,76672,Soap,45690,POS-02,Stationery,462996
INV-100148,2026-05-29,Soap,77648,Headphones,40212,Monitor,15163,Shampoo,47856,POS-09,Accessories,460439
INV-100149,2026-05-30,Notebook,60542,Keyboard,61676,Desk Lamp,10158,Office Chair,19468,POS-19,Stationery,468726
INV-100150,2026-05-31,Soap,63109,Backpack,45952,Tablet,76373,Desk Lamp,8693,POS-19,Home,462188
INV-100151,2026-06-01,Power Bank,19805,Notebook,7455,Shampoo,45322,Monitor,8579,POS-14,Stationery,462454
INV-100152,2026-06-02,Soap,71130,Notebook,12545,Mouse,74856,Monitor,5645,POS-13,Stationery,463503
INV-100153,2026-06-03,Notebook,27403,Charger,42511,Pen Set,18975,Keyboard,53207,POS-01,Stationery,464648
INV-100154,2026-06-04,Backpack,53414,Pen Set,7024,Headphones,15814,Desk Lamp,73443,POS-18,Accessories,465642
INV-100155,2026-06-05,Shampoo,16120,Power Bank,23375,Tablet,27611,USB Cable,53159,POS-05,Accessories,463300
INV-100156,2026-06-06,Smartphone,52786,Laptop,46455,Shampoo,38999,Power Bank,57172,POS-13,Home,461995
INV-100157,2026-06-07,USB Cable,68950,Power Bank,58804,Shampoo,69213,Headphones,25600,POS-17,Home,464670
INV-100158,2026-06-08,Laptop,27806,Pen Set,29640,Notebook,43015,Monitor,46243,POS-03,Home,469871
INV-100159,2026-06-09,Soap,43406,Notebook,63067,Shampoo,40256,Headphones,35011,POS-03,Electronics,465246
INV-100160,2026-06-10,Shampoo,20293,Tablet,37494,Power Bank,21649,Water Bottle,2131,POS-01,Office,461539
INV-100161,2026-06-11,Face Wash,38161,Tablet,7625,Notebook,32610,Water Bottle,5009,POS-10,Accessories,469697
INV-100162,2026-06-12,Pen Set,27775,Smartphone,4618,Shampoo,2259,Tablet,59950,POS-13,Personal Care,465528
INV-100163,2026-06-13,Laptop,59038,Body Lotion,22946,Shampoo,36404,USB Cable,70312,POS-20,Personal Care,462703
INV-100164,2026-06-14,Desk Lamp,45591,Monitor,64703,Mouse,14663,Backpack,76347,POS-11,Electronics,469522
INV-100165,2026-06-15,Pen Set,20296,Desk Lamp,44591,Mouse,64490,Power Bank,14094,POS-14,Accessories,461888
INV-100166,2026-06-16,USB Cable,8133,Water Bottle,11433,Keyboard,14478,Backpack,23298,POS-04,Home,460427
INV-100167,2026-06-17,Shampoo,50491,USB Cable,48052,Mouse,29058,Desk Lamp,30683,POS-05,Stationery,467740
INV-100168,2026-06-18,Office Chair,57881,Power Bank,71252,Pen Set,59877,Notebook,37466,POS-03,Home,464837
INV-100169,2026-06-19,Water Bottle,51328,USB Cable,60832,Desk Lamp,59337,Notebook,40208,POS-20,Electronics,464163
INV-100170,2026-06-20,Pen Set,78689,Tablet,41302,Smartphone,76751,Monitor,25852,POS-09,Electronics,461694
INV-100171,2026-06-21,Soap,6309,Water Bottle,75691,Power Bank,23292,Notebook,7794,POS-06,Electronics,460407
INV-100172,2026-06-22,Backpack,20978,Laptop,46626,Monitor,16524,Charger,13427,POS-13,Electronics,464525
INV-100173,2026-06-23,Headphones,57386,Office Chair,78110,Mouse,41839,Power Bank,58919,POS-01,Home,464737
INV-100174,2026-06-24,Backpack,64806,USB Cable,25549,Body Lotion,3705,Charger,79069,POS-19,Accessories,468475
INV-100175,2026-06-25,Keyboard,52591,Monitor,25639,USB Cable,71581,Face Wash,4969,POS-08,Stationery,467864
INV-100176,2026-06-26,Headphones,12226,Tablet,67526,USB Cable,27405,Smartphone,39470,POS-16,Stationery,462587
INV-100177,2026-06-27,Pen Set,22959,Desk Lamp,6474,Notebook,33657,Water Bottle,52784,POS-04,Home,464631
INV-100178,2026-06-28,Pen Set,36888,Mouse,76791,Desk Lamp,58506,Laptop,31640,POS-03,Home,462109
INV-100179,2026-06-29,Water Bottle,10018,Keyboard,15965,Monitor,54585,Pen Set,1344,POS-11,Home,462416
INV-100180,2026-06-30,Body Lotion,20635,Charger,76595,Keyboard,78830,Laptop,7630,POS-20,Home,462849
INV-100181,2026-07-01,Desk Lamp,77724,Office Chair,52853,Water Bottle,28133,Laptop,9204,POS-15,Home,462604
INV-100182,2026-07-02,Laptop,43378,Shampoo,4935,Monitor,54805,Pen Set,1559,POS-05,Home,463969
INV-100183,2026-07-03,Monitor,146,Keyboard,22327,Water Bottle,67521,Charger,16616,POS-05,Office,461663
INV-100184,2026-07-04,Headphones,60133,USB Cable,48730,Keyboard,39930,Mouse,69488,POS-05,Home,466386
INV-100185,2026-07-05,Power Bank,47060,Soap,70094,Water Bottle,35785,Body Lotion,16193,POS-19,Office,463844
INV-100186,2026-07-06,Smartphone,40745,Charger,26865,Office Chair,70273,Shampoo,46227,POS-03,Electronics,460881
INV-100187,2026-07-07,Keyboard,32977,USB Cable,52117,Office Chair,38755,Backpack,8192,POS-19,Electronics,466679
INV-100188,2026-07-08,Charger,17859,USB Cable,72993,Pen Set,8463,Tablet,29211,POS-17,Personal Care,465923
INV-100189,2026-07-09,USB Cable,37851,Backpack,50985,Pen Set,40241,Desk Lamp,22409,POS-04,Stationery,463128
INV-100190,2026-07-10,Water Bottle,8792,Notebook,37730,Face Wash,6688,Soap,79429,POS-08,Electronics,465230
INV-100191,2026-07-11,Power Bank,30154,Headphones,61029,Keyboard,36746,Charger,10358,POS-19,Office,467820
INV-100192,2026-07-12,Tablet,54668,Headphones,69572,Notebook,12159,Office Chair,29590,POS-03,Office,462654
INV-100193,2026-07-13,Power Bank,17315,Headphones,58647,Monitor,69823,Notebook,32480,POS-20,Accessories,464129
INV-100194,2026-07-14,Body Lotion,54139,Office Chair,76371,Charger,16964,Power Bank,44812,POS-04,Electronics,460043
INV-100195,2026-07-15,Shampoo,53942,Desk Lamp,78750,Power Bank,33820,Keyboard,32947,POS-08,Home,460846
INV-100196,2026-07-16,Laptop,65089,Monitor,8596,Office Chair,63095,Keyboard,37226,POS-09,Office,462078
INV-100197,2026-07-17,Power Bank,47985,Mouse,4570,Laptop,24475,Charger,39501,POS-17,Stationery,465376
INV-100198,2026-07-18,Mouse,17496,Keyboard,42766,Soap,9976,Shampoo,41329,POS-07,Stationery,461599
INV-100199,2026-07-19,Tablet,14351,Headphones,62734,Monitor,74100,Soap,63051,POS-09,Home,467546
INV-100200,2026-07-20,USB Cable,17769,Face Wash,45017,Charger,63380,Body Lotion,12957,POS-15,Office,468452
INV-100201,2026-07-21,Tablet,9581,Water Bottle,3349,Soap,17601,Keyboard,18569,POS-08,Personal Care,461147
INV-100202,2026-07-22,Notebook,71142,Headphones,22864,Pen Set,10217,Mouse,62230,POS-15,Stationery,464787
INV-100203,2026-07-23,Power Bank,8363,Keyboard,61873,Tablet,25660,Notebook,25413,POS-09,Office,463994
INV-100204,2026-07-24,Water Bottle,9953,Shampoo,42478,Face Wash,64242,Keyboard,14901,POS-08,Personal Care,466862
INV-100205,2026-07-25,Body Lotion,73479,Keyboard,43026,Charger,44553,Backpack,40195,POS-15,Electronics,462530
INV-100206,2026-07-26,Desk Lamp,41381,Laptop,37847,Keyboard,63068,Tablet,25696,POS-09,Personal Care,460209
INV-100207,2026-07-27,Body Lotion,65302,Notebook,46859,Monitor,60480,Water Bottle,35941,POS-06,Office,464074
INV-100208,2026-07-28,Body Lotion,23315,Backpack,68223,Pen Set,30690,Mouse,4990,POS-02,Electronics,461363
INV-100209,2026-07-29,Face Wash,74990,Soap,56250,Backpack,47926,Charger,54749,POS-17,Accessories,465461
INV-100210,2026-07-30,Headphones,20508,Backpack,37310,Notebook,34642,Body Lotion,41494,POS-15,Office,469817
INV-100211,2026-07-31,Power Bank,61381,Water Bottle,877,Monitor,72908,Body Lotion,13372,POS-03,Office,460711
INV-100212,2026-08-01,Backpack,1877,Mouse,3478,Shampoo,39705,USB Cable,42698,POS-12,Electronics,460777
INV-100213,2026-08-02,Pen Set,8456,USB Cable,67139,Keyboard,60587,Tablet,3344,POS-11,Electronics,469328
INV-100214,2026-08-03,Keyboard,49035,Shampoo,11117,Water Bottle,183,Monitor,64004,POS-11,Accessories,462701
INV-100215,2026-08-04,Mouse,10976,Keyboard,26285,Desk Lamp,34834,Headphones,45169,POS-18,Home,463907
INV-100216,2026-08-05,USB Cable,15887,Water Bottle,78374,Backpack,16860,Headphones,27449,POS-20,Home,460770
INV-100217,2026-08-06,Smartphone,72777,Tablet,69005,Charger,66009,Desk Lamp,2218,POS-18,Office,468449
INV-100218,2026-08-07,Body Lotion,39928,Headphones,62340,Water Bottle,10375,Desk Lamp,39555,POS-18,Office,462634
INV-100219,2026-08-08,Shampoo,75710,Mouse,5467,Headphones,39740,Smartphone,56152,POS-03,Stationery,467627
INV-100220,2026-08-09,Body Lotion,17185,Smartphone,68332,Mouse,69189,Face Wash,1277,POS-07,Office,467641
INV-100221,2026-08-10,Mouse,21675,Body Lotion,1856,USB Cable,67927,Shampoo,45642,POS-07,Stationery,465845
INV-100222,2026-08-11,Backpack,19063,Monitor,33651,Keyboard,62213,Tablet,63567,POS-10,Accessories,468720
INV-100223,2026-08-12,Keyboard,41912,Charger,9360,Mouse,40999,Smartphone,71564,POS-08,Accessories,465154
INV-100224,2026-08-13,Headphones,56403,Shampoo,35276,Face Wash,13167,Mouse,64531,POS-15,Office,461314
INV-100225,2026-08-14,Desk Lamp,28143,USB Cable,20497,Power Bank,59922,Soap,2330,POS-10,Office,465839
INV-100226,2026-08-15,Keyboard,69411,Soap,60062,Power Bank,62461,Headphones,55914,POS-19,Office,468669
INV-100227,2026-08-16,Pen Set,32887,Desk Lamp,43201,Laptop,1908,Power Bank,74117,POS-13,Personal Care,462791
INV-100228,2026-08-17,Desk Lamp,67172,Tablet,39922,Laptop,64385,Face Wash,18963,POS-02,Electronics,465203
INV-100229,2026-08-18,USB Cable,30762,Backpack,8987,Power Bank,8186,Monitor,56531,POS-03,Office,465699
INV-100230,2026-08-19,Keyboard,71460,Pen Set,56688,Laptop,3933,Office Chair,1586,POS-20,Home,466710
INV-100231,2026-08-20,Pen Set,65066,Monitor,44206,Headphones,11971,Water Bottle,17076,POS-07,Home,465069
